site	day	RecordLabel	Location	Position	stream	Date	Latitude	Longitude	TotAreaUpStream_km2	Fl	Cl	NO2N	Br	NO3N	SO4	PO4	Ca	Mg	Na	K	Fe	TotDisP	Si	Cu	Mn	Sr	OpenWater_km2	OpenSpaceDev_km2	LowIntDev_km2	MedIntDev_km2	HighIntDev_km2	Barren_km2	Deciduous_km2	Evergreen_km2	MixedFor_km2	Shrub_km2	Herb_km2	Hay_km2	Crops_km2	WoodyWet_km2	EmergentWet_km2	UniqueOpenWater_km2	UniqueOpenSpace_km2	UniqueLowIntDev_km2	UniqueMedIntDev_km2	UniqueHighIntDev_km2	UniqueBarren_km2	UniqueDeciduous_km2	UniqueEvergreen_km2	UniqueMixedFor_km2	UniqueShrub_km2	UniqueHerb_km2	UniqueHay_km2	UniqueCrops_km2	UniqueWoodyWet_km2	UniqueEmergentWet_km2	1dayAntecedentPrecip_mm	2dayAntecedentPrecip_mm	3dayAntecedentPrecip_mm	4dayAntecedentPrecip_mm
1	1	S1.1	1	1	1	42500	40.19165	-75.285821	18.9656	0.12	120.2	0.02	0.01	1.18	36.2	0.008	37.293	13.102	56.159	1.823	0.051	0.043	4.088	0.007	0.01	0.244	0	6.1434	3.8376	2.0781	0.9999	0.0018	4.0131	0.0144	0.0792	0.4194	0.0396	0.8757	0.4311	0.0459	0	0	6.1434	3.8376	2.0781	0.9999	0.0018	4.0131	0.0144	0.0792	0.4194	0.0396	0.8757	0.4311	0.0459	0	0	1.6	3.2	35.8
1	2	S1.2	1	1	1	42507	40.19165	-75.285821	18.9656	0.15	109.5	0.01	0.06	0.89	37.6	0.006	43.139	15.466	49.451	1.75	0.02	0.038	3.586	0.004	0.01	0.3	0	6.1434	3.8376	2.0781	0.9999	0.0018	4.0131	0.0144	0.0792	0.4194	0.0396	0.8757	0.4311	0.0459	0	0	6.1434	3.8376	2.0781	0.9999	0.0018	4.0131	0.0144	0.0792	0.4194	0.0396	0.8757	0.4311	0.0459	0	0	0	0	4.8
2	1	S2.1	1	2	1	42500	40.189167	-75.282803	19.3512	0.21	156.8	0.02	0.29	5.01	174.1	0.033	40.685	14.259	95.987	4.246	0.043	0.069	4.296	0.008	0.006	0.294	0	6.2271	3.8934	2.0781	0.9999	0.0054	4.077	0.0144	0.0792	0.4536	0.0396	0.9315	0.531	0.0459	0	0	0.0837	0.0558	0	0	0.0036	0.0639	0	0	0.0342	0	0.0558	0.0999	0	0	0	1.6	3.2	35.8
2	2	S2.2	1	2	1	42507	40.189167	-75.282803	19.3512	0.18	194.8	0.22	0.14	10.16	375.1	0.064	55.286	17.549	142.419	6.435	0.05	0.109	3.777	0.011	0.008	0.385	0	6.2271	3.8934	2.0781	0.9999	0.0054	4.077	0.0144	0.0792	0.4536	0.0396	0.9315	0.531	0.0459	0	0	0.0837	0.0558	0	0	0.0036	0.0639	0	0	0.0342	0	0.0558	0.0999	0	0	0	0	0	4.8
3	1	S3.1	2	1	1	42500	40.147023	-75.225548	63.5295	0.13	116.6	0.02	0.01	2.43	68.4	0.039	38.024	13.83	62.206	2.531	0.059	0.071	4.703	0.007	0.019	0.254	0.0441	21.7179	10.4769	4.4847	1.5219	0.1611	15.0633	0.2709	0.4824	2.403	0.1251	4.518	1.5426	0.7758	0	0.0441	15.4908	6.5835	2.4066	0.522	0.1557	10.9863	0.2565	0.4032	1.9494	0.0855	3.5865	1.0116	0.7299	0	0	1.6	3.2	35.8
3	2	S3.2	2	1	1	42507	40.147023	-75.225548	63.5295	0.13	116.9	0.01	0.48	2.71	94.5	0.015	44.33	15.745	65.537	2.764	0.04	0.062	4.244	0.01	0.014	0.346	0.0441	21.7179	10.4769	4.4847	1.5219	0.1611	15.0633	0.2709	0.4824	2.403	0.1251	4.518	1.5426	0.7758	0	0.0441	15.4908	6.5835	2.4066	0.522	0.1557	10.9863	0.2565	0.4032	1.9494	0.0855	3.5865	1.0116	0.7299	0	0	0	0	4.8
4	1	S4.1	2	2	1	42500	40.141042	-75.217616	67.8901	0.1	143.3	0.02	0.01	5.06	74.1	0.073	46.435	15.073	67.857	3.209	0.028	0.127	5.074	0.011	0.015	0.268	0.0783	23.2128	11.5542	5.0202	1.6101	0.1647	15.7725	0.2844	0.5238	2.4408	0.1323	4.6773	1.5741	0.8982	0	0.0342	1.4949	1.0773	0.5355	0.0882	0.0036	0.7092	0.0135	0.0414	0.0378	0.0072	0.1593	0.0315	0.1224	0	0	1.6	3.2	35.8
4	2	S4.2	2	2	1	42507	40.141042	-75.217616	67.8901	0.07	134.7	0.02	0.12	6.58	92.4	0.101	48.196	16.409	68.936	3.662	0.032	0.133	4.468	0.007	0.011	0.321	0.0783	23.2128	11.5542	5.0202	1.6101	0.1647	15.7725	0.2844	0.5238	2.4408	0.1323	4.6773	1.5741	0.8982	0	0.0342	1.4949	1.0773	0.5355	0.0882	0.0036	0.7092	0.0135	0.0414	0.0378	0.0072	0.1593	0.0315	0.1224	0	0	0	0	4.8
5	1	S5.1	3	2	1	42500	40.123822	-75.220727	105.102	0.11	128.6	0.02	0.11	3.71	60.6	0.06	46.308	18.57	66.216	3.468	0.024	0.018	4.396	0.018	0.03	0.248	0.1008	36.36	21.3948	8.1117	2.2572	0.2079	22.3326	0.3852	0.9243	3.2148	0.18	6.3504	1.8369	1.4463	0.0036	0	1.5382	0.747	0.459	0.0657	0.0036	1.3653	0.0522	0.1322	0.2457	0.0324	0.9342	0.0225	0.2781	0	0	1.6	3.2	35.8
5	2	S5.2	3	2	1	42507	40.123822	-75.220727	105.102	0.07	128.3	0.01	0.12	4.97	76.2	0.123	49.508	18.521	65.542	3.468	0.032	0.173	4.396	0.006	0.023	0.293	0.1008	36.36	21.3948	8.1117	2.2572	0.2079	22.3326	0.3852	0.9243	3.2148	0.18	6.3504	1.8369	1.4463	0.0036	0	1.5382	0.747	0.459	0.0657	0.0036	1.3653	0.0522	0.1322	0.2457	0.0324	0.9342	0.0225	0.2781	0	0	0	0	4.8
